method,m,i,step,cost,time
random,1,2,327,35.25383758544922,4.937280893325806
random,1,2,328,35.473876953125,4.937280893325806
random,1,2,329,35.42168045043945,4.937280893325806
random,1,2,330,34.84474182128906,4.937280893325806
random,1,2,331,35.6104850769043,4.937280893325806
random,1,2,332,35.25368118286133,4.937280893325806
random,1,2,333,35.344444274902344,4.937280893325806
random,1,2,334,35.08729553222656,4.937280893325806
random,1,2,335,35.02588653564453,4.937280893325806
random,1,2,336,35.1608772277832,4.937280893325806
random,1,2,337,34.92338943481445,4.937280893325806
random,1,2,338,34.76606750488281,4.937280893325806
random,1,2,339,34.59394454956055,4.937280893325806
random,1,2,340,34.451866149902344,4.937280893325806
random,1,2,341,34.409488677978516,4.937280893325806
random,1,2,342,34.39102554321289,4.937280893325806
random,1,2,343,34.506492614746094,4.937280893325806
random,1,2,344,35.138587951660156,4.937280893325806
random,1,2,345,35.66326904296875,4.937280893325806
random,1,2,346,35.63687515258789,4.937280893325806
random,1,2,347,35.53894805908203,4.937280893325806
random,1,2,348,35.42905807495117,4.937280893325806
random,1,2,349,35.71149444580078,4.937280893325806
random,1,2,350,35.66364288330078,4.937280893325806
random,1,2,351,35.64967346191406,4.937280893325806
random,1,2,352,35.486751556396484,4.937280893325806
random,1,2,353,35.45988845825195,4.937280893325806
random,1,2,354,35.45558547973633,4.937280893325806
random,1,2,355,35.44286346435547,4.937280893325806
random,1,2,356,34.97960662841797,4.937280893325806
random,1,2,357,35.03924560546875,4.937280893325806
random,1,2,358,35.01439666748047,4.937280893325806
random,1,2,359,35.4113655090332,4.937280893325806
random,1,2,360,35.451446533203125,4.937280893325806
random,1,2,361,35.03186798095703,4.937280893325806
random,1,2,362,34.953392028808594,4.937280893325806
random,1,2,363,34.29489517211914,4.937280893325806
random,1,2,364,34.29326629638672,4.937280893325806
random,1,2,365,34.263980865478516,4.937280893325806
random,1,2,366,34.33845520019531,4.937280893325806
random,1,2,367,34.1951904296875,4.937280893325806
random,1,2,368,34.45558166503906,4.937280893325806
random,1,2,369,34.477256774902344,4.937280893325806
random,1,2,370,34.458717346191406,4.937280893325806
random,1,2,371,34.32691955566406,4.937280893325806
random,1,2,372,34.47016525268555,4.937280893325806
random,1,2,373,35.09311294555664,4.937280893325806
random,1,2,374,35.056854248046875,4.937280893325806
random,1,2,375,34.93861770629883,4.937280893325806
random,1,2,376,34.96232986450195,4.937280893325806
random,1,2,377,34.618011474609375,4.937280893325806
random,1,2,378,34.57219696044922,4.937280893325806
random,1,2,379,34.65053939819336,4.937280893325806
random,1,2,380,34.51894760131836,4.937280893325806
random,1,2,381,35.1075439453125,4.937280893325806
random,1,2,382,35.26110076904297,4.937280893325806
random,1,2,383,35.46997833251953,4.937280893325806
random,1,2,384,35.60918045043945,4.937280893325806
random,1,2,385,35.81339645385742,4.937280893325806
random,1,2,386,35.70341873168945,4.937280893325806
random,1,2,387,35.95002746582031,4.937280893325806
random,1,2,388,35.95753860473633,4.937280893325806
random,1,2,389,36.24711990356445,4.937280893325806
random,1,2,390,36.292579650878906,4.937280893325806
random,1,2,391,36.222835540771484,4.937280893325806
random,1,2,392,36.13510513305664,4.937280893325806
random,1,2,393,36.063106536865234,4.937280893325806
random,1,2,394,36.124237060546875,4.937280893325806
random,1,2,395,36.1861686706543,4.937280893325806
random,1,2,396,35.841983795166016,4.937280893325806
random,1,2,397,36.08660888671875,4.937280893325806
random,1,2,398,36.62083435058594,4.937280893325806
random,1,2,399,36.57945251464844,4.937280893325806
random,1,2,400,36.91839599609375,4.937280893325806
random,1,2,401,36.78192901611328,4.937280893325806
random,1,2,402,36.96379852294922,4.937280893325806
random,1,2,403,36.72951889038086,4.937280893325806
random,1,2,404,36.6639404296875,4.937280893325806
random,1,2,405,36.84044647216797,4.937280893325806
random,1,2,406,36.64714050292969,4.937280893325806
